0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0859	0.0861	0.0828	0.0859	0.0005	0.0905	0.0868	0.1597	0.0905	0.0012	0.0012	0.0012	0.0049	0.0049	0.0001	0.0836	0.0049	0.0049	0.0001	0.0001	0.0001	
0.0865	0.0867	0.0834	0.0865	0.0021	0.0924	0.0874	0.1597	0.0924	0.0022	0.0022	0.0022	0.0068	0.0068	0.0007	0.0836	0.0068	0.0068	0.0007	0.0007	0.0007	
0.0870	0.0872	0.0839	0.0870	0.0035	0.0940	0.0879	0.1597	0.0940	0.0031	0.0031	0.0031	0.0085	0.0085	0.0012	0.0836	0.0085	0.0085	0.0012	0.0012	0.0012	
0.0875	0.0877	0.0844	0.0875	0.0048	0.0955	0.0884	0.1597	0.0955	0.0039	0.0039	0.0039	0.0100	0.0100	0.0017	0.0836	0.0100	0.0100	0.0017	0.0017	0.0017	
0.0879	0.0881	0.0848	0.0879	0.0059	0.0968	0.0888	0.1597	0.0968	0.0046	0.0046	0.0046	0.0113	0.0113	0.0021	0.0836	0.0113	0.0113	0.0021	0.0021	0.0021	
0.0882	0.0884	0.0851	0.0882	0.0069	0.0979	0.0892	0.1597	0.0979	0.0052	0.0052	0.0052	0.0125	0.0125	0.0025	0.0836	0.0125	0.0125	0.0025	0.0025	0.0025	
0.0885	0.0887	0.0855	0.0885	0.0078	0.0989	0.0895	0.1597	0.0989	0.0058	0.0058	0.0058	0.0136	0.0136	0.0029	0.0836	0.0136	0.0136	0.0029	0.0029	0.0029	
0.0887	0.0890	0.0857	0.0887	0.0087	0.0998	0.0898	0.1597	0.0998	0.0063	0.0063	0.0063	0.0146	0.0146	0.0032	0.0836	0.0146	0.0146	0.0032	0.0032	0.0032	
0.0890	0.0892	0.0860	0.0890	0.0094	0.1006	0.0900	0.1597	0.1006	0.0068	0.0068	0.0068	0.0154	0.0154	0.0034	0.0836	0.0154	0.0154	0.0034	0.0034	0.0034	
0.0892	0.0895	0.0862	0.0892	0.0101	0.1013	0.0902	0.1597	0.1013	0.0072	0.0072	0.0072	0.0162	0.0162	0.0037	0.0836	0.0162	0.0162	0.0037	0.0037	0.0037	
0.0893	0.0897	0.0864	0.0893	0.0106	0.1019	0.0904	0.1597	0.1019	0.0076	0.0076	0.0076	0.0169	0.0169	0.0039	0.0836	0.0169	0.0169	0.0039	0.0039	0.0039	
0.0895	0.0898	0.0866	0.0895	0.0112	0.1025	0.0906	0.1596	0.1025	0.0079	0.0079	0.0079	0.0175	0.0175	0.0041	0.0836	0.0175	0.0175	0.0041	0.0041	0.0041	
0.0896	0.0900	0.0868	0.0896	0.0117	0.1030	0.0907	0.1596	0.1030	0.0082	0.0082	0.0082	0.0181	0.0181	0.0043	0.0836	0.0181	0.0181	0.0043	0.0043	0.0043	
